"localidad_id","lon","lat","distance","desc_edo","desc_mun"
644470,-98.2330551147461,19.3122215270996,0.844490074102172,"TLAXCALA","TLAXCALA"
644472,-98.2588882446289,19.2950000762939,3.21322859943644,"TLAXCALA","TLAXCALA"
290236,-98.2386093139648,19.3166675567627,0.0802233054117182,"TLAXCALA","TLAXCALA"
644469,-98.2169418334961,19.3358325958252,3.12706626712265,"TLAXCALA","TLAXCALA"
210354,-105.206047058105,21.8083362579346,0.274222845436338,"NAYARIT","SANTIAGO IXCUINTLA"
644474,-98.2358322143555,19.2775001525879,4.42065338636105,"TLAXCALA","TLAXCALA"
265727,-98.2672348022461,19.315128326416,2.95056016933061,"TLAXCALA","PANOTLA"
639600,-100.14754486084,25.6325035095215,12.1429759780529,"NUEVO LEON","JUAREZ"
196816,-103.209442138672,20.5691661834717,13.0287638948654,"JALISCO","TONALA"
185907,-98.9582138061523,19.8135948181152,6.14538383533078,"HIDALGO","TIZAYUCA"
688693,-100.402465820312,25.8185367584229,16.0495225264001,"NUEVO LEON","GENERAL ESCOBEDO"
196139,-103.401947021484,20.4644451141357,18.5530174784589,"JALISCO","TLAJOMULCO DE ZUÑIGA                              "
196125,-103.443054199219,20.473611831665,17.656511691325,"JALISCO","TLAJOMULCO DE ZUÑIGA                              "
185901,-98.9815826416016,19.8410892486572,8.55807708920441,"HIDALGO","TIZAYUCA"
215074,-100.187774658203,25.6294441223145,8.7411832009146,"NUEVO LEON","JUAREZ"
265830,-98.1040496826172,19.4414157867432,5.52510212642301,"TLAXCALA","TETLA DE LA SOLIDARIDAD                           "
210490,-105.431663513184,22.4047222137451,2.55684856538744,"NAYARIT","TECUALA"
137300,-92.2418060302734,14.9488248825073,2.02100158800275,"CHIAPAS","TAPACHULA"
210395,-105.203056335449,21.8017673492432,0.843501820477407,"NAYARIT","SANTIAGO IXCUINTLA"
288535,-105.417221069336,22.3824996948242,4.2718563732127,"NAYARIT","TECUALA"
137336,-92.2767333984375,14.8702335357666,1.38646531669596,"CHIAPAS","TAPACHULA"
279433,-98.9461517333984,19.8419876098633,4.99653638835669,"HIDALGO","TIZAYUCA"
293575,-98.4117813110352,20.0651893615723,4.48274428170059,"HIDALGO","SANTIAGO TULANTEPEC DE LUGO GUERRERO              "
137006,-92.2607574462891,14.8259391784668,5.39667531543298,"CHIAPAS","TAPACHULA"
124927,-93.7204284667969,16.6986827850342,0.0943520071306919,"CHIAPAS","CINTALAPA"
185902,-98.9556427001953,19.8845462799072,8.58011809498068,"HIDALGO","TIZAYUCA"
210408,-105.116004943848,21.8014602661133,9.57322462472194,"NAYARIT","SANTIAGO IXCUINTLA"
210380,-105.278694152832,21.8646469116211,9.64240745505146,"NAYARIT","SANTIAGO IXCUINTLA"
210372,-105.24365234375,21.7191619873047,10.4628111253346,"NAYARIT","SANTIAGO IXCUINTLA"
646204,-93.2084350585938,16.7868747711182,9.30785020058722,"CHIAPAS","BERRIOZABAL"
291854,-92.3125076293945,14.8231000900269,7.68275968029274,"CHIAPAS","TAPACHULA"
281306,-100.126663208008,25.635555267334,13.9934271705591,"NUEVO LEON","JUAREZ"
